index,Company,TypeName,Ram,Weight,Price,TouchScreen,IPS,PPI,Cpu brand,HDD,SSD,Gpu brand,OS
250,Dell,2 in 1 Convertible,8,0.7323678937132266,43636.32,1,1,141.21199808219862,Intel Core i7,1000,0,Intel,Windows
251,Asus,Gaming,16,1.4586150226995167,95850.72,0,0,127.33567457123111,Intel Core i7,1000,256,Nvidia,Windows
252,Asus,Notebook,4,0.5187937934151675,24988.32,0,0,100.45466986113651,AMD Processor,1000,0,AMD,Windows
253,Lenovo,2 in 1 Convertible,8,0.3148107398400336,98514.72,1,1,158.48253022174808,Intel Core i7,0,512,Intel,Windows
254,Acer,Notebook,4,1.0986122886681098,37402.56,0,1,127.33567457123111,Intel Core i3,0,256,Nvidia,Windows
255,Dell,Ultrabook,8,0.34358970439007686,50562.72,0,0,165.6321180513006,Intel Core i5,0,256,Intel,Windows
256,HP,Notebook,8,0.6471032420585384,23757.552,0,0,100.45466986113651,AMD Processor,0,128,AMD,Windows
257,HP,Notebook,16,1.0647107369924282,56423.52,0,1,127.33567457123111,Intel Core i7,1000,0,Nvidia,Windows
258,MSI,Gaming,16,1.4206957878372228,133146.72,0,0,127.33567457123111,Intel Core i7,1000,512,Nvidia,Windows
259,Lenovo,2 in 1 Convertible,8,0.6931471805599453,90522.72,1,1,141.21199808219862,Intel Core i7,0,512,Nvidia,Windows
260,Dell,Notebook,8,1.0296194171811581,60845.76,0,0,127.33567457123111,Intel Core i7,1000,128,AMD,Windows
261,Lenovo,Notebook,4,0.7884573603642703,23656.32,0,0,141.21199808219862,Intel Core i3,0,256,Intel,Others/No OS/Linux
262,HP,Notebook,4,0.7419373447293773,38468.16,0,1,141.21199808219862,Intel Core i5,500,0,Intel,Windows
263,Dell,Notebook,4,0.7793248768009977,35004.96,0,0,141.21199808219862,Intel Core i5,1000,0,Intel,Windows
264,Dell,Notebook,8,0.8064758658669485,30103.2,0,0,141.21199808219862,Intel Core i5,1000,0,AMD,Windows
265,Dell,2 in 1 Convertible,8,0.9820784724121582,42570.72,1,0,141.21199808219862,Intel Core i5,0,256,Intel,Windows
266,Asus,2 in 1 Convertible,8,1.410986973710262,79866.72,1,0,165.6321180513006,Intel Core i7,0,1024,Intel,Windows
268,HP,Notebook,8,0.9162907318741551,54239.04,0,0,127.33567457123111,Intel Core i7,1000,0,Nvidia,Windows
269,Lenovo,Notebook,8,0.7178397931503168,46886.4,0,0,141.21199808219862,Intel Core i7,0,256,Intel,Windows
270,Apple,Ultrabook,8,0.3148107398400336,104370.192,0,1,226.98300468106115,Intel Core i5,0,512,Intel,Mac
271,Asus,Gaming,16,1.1631508098056809,82530.72,0,0,127.33567457123111,AMD Processor,1000,256,AMD,Windows
272,Dell,Notebook,8,0.7608058290337602,39164.5296,0,0,141.21199808219862,Intel Core i7,0,256,AMD,Others/No OS/Linux
273,Lenovo,2 in 1 Convertible,16,0.3074846997479607,133146.72,1,0,209.8006828649808,Intel Core i7,0,512,Intel,Windows
274,Toshiba,Notebook,8,0.7884573603642703,43263.36,0,0,100.45466986113651,Intel Core i7,500,0,Nvidia,Windows
275,Dell,Notebook,12,0.8329091229351039,37992.3696,0,0,100.45466986113651,Intel Core i7,1000,0,Intel,Windows
276,Dell,Notebook,8,1.0296194171811581,58554.72,0,0,127.33567457123111,Intel Core i7,1000,128,AMD,Others/No OS/Linux
277,Acer,Notebook,8,0.7884573603642703,39693.6,0,1,141.21199808219862,Intel Core i7,1000,0,Nvidia,Windows
278,Lenovo,Notebook,4,1.0296194171811581,26053.92,0,0,106.11306214269258,Intel Core i3,1000,0,Intel,Windows
279,Lenovo,Notebook,8,1.0296194171811581,45234.72,0,0,127.33567457123111,Intel Core i7,2000,0,Nvidia,Others/No OS/Linux
280,Lenovo,Notebook,6,1.0296194171811581,45767.52,0,0,106.11306214269258,Intel Core i7,1000,128,Nvidia,Windows
281,Dell,Notebook,4,0.8109302162163288,22803.84,0,0,141.21199808219862,Intel Core i3,1000,0,AMD,Others/No OS/Linux
282,Lenovo,Gaming,8,0.9162907318741551,44169.12,0,1,141.21199808219862,Intel Core i5,0,256,Nvidia,Windows
283,Lenovo,Notebook,6,0.7884573603642703,30849.12,0,0,141.21199808219862,Intel Core i5,0,256,Intel,Windows
284,Acer,Notebook,8,1.0986122886681098,50669.28,0,1,141.21199808219862,Intel Core i7,0,256,Nvidia,Windows
285,Acer,Notebook,12,0.7654678421395714,35111.52,1,1,141.21199808219862,Intel Core i7,1000,0,Intel,Windows
286,Lenovo,Notebook,8,0.6678293725756554,58448.16,0,1,141.21199808219862,Intel Core i7,0,256,Intel,Windows
287,Asus,Ultrabook,8,0.5306282510621704,52054.56,0,0,141.21199808219862,Intel Core i5,0,256,Nvidia,Windows
288,Lenovo,Gaming,16,0.9162907318741551,62817.12,0,1,141.21199808219862,Intel Core i7,1000,256,Nvidia,Windows
289,Lenovo,Notebook,8,0.7884573603642703,35112.0528,0,0,141.21199808219862,Intel Core i7,1000,0,Nvidia,Others/No OS/Linux
290,Acer,Notebook,2,0.7839015438284094,10602.72,0,0,100.45466986113651,Other Intel Processor,0,16,Intel,Others/No OS/Linux
291,Asus,Gaming,8,1.0986122886681098,63243.36,0,0,127.33567457123111,Intel Core i7,1000,0,Nvidia,Windows
292,HP,Notebook,8,0.9321640810304452,26053.92,0,0,106.11306214269258,Intel Core i3,1000,0,Intel,Windows
293,Dell,Notebook,8,0.6931471805599453,97449.12,0,0,141.21199808219862,Intel Core i7,0,256,Nvidia,Windows
294,Lenovo,Notebook,8,0.7178397931503168,39373.92,0,0,141.21199808219862,Intel Core i5,0,256,Intel,Windows
295,Lenovo,Gaming,8,1.1631508098056809,69210.72,0,1,141.21199808219862,Intel Core i7,1000,0,Nvidia,Windows
296,Acer,Notebook,8,0.9162907318741551,52161.12,0,0,141.21199808219862,Intel Core i7,0,256,Nvidia,Others/No OS/Linux
297,Dell,Workstation,16,1.2296405510745139,153705.3408,0,0,127.33567457123111,Intel Core i7,0,256,Nvidia,Windows
298,Lenovo,Notebook,6,0.8754687373538999,26586.72,0,0,141.21199808219862,AMD Processor,1000,0,AMD,Windows
299,Asus,Ultrabook,16,0.4885800148186709,78215.04,0,0,141.21199808219862,Intel Core i7,0,512,Nvidia,Windows
300,Asus,Notebook,4,0.26236426446749106,27119.52,0,0,111.93520355955211,Intel Core i3,0,128,Intel,Windows
301,Asus,Gaming,16,1.0647107369924282,113060.16,0,0,127.33567457123111,Intel Core i7,1000,256,Nvidia,Windows
302,Lenovo,Notebook,6,1.7578579175523736,34578.72,0,0,106.11306214269258,Intel Core i5,1000,0,Nvidia,Windows
303,Lenovo,Notebook,8,0.7884573603642703,29250.72,0,0,100.45466986113651,Intel Core i5,2000,0,Nvidia,Others/No OS/Linux
304,Asus,Gaming,8,0.9162907318741551,67399.2,0,0,141.21199808219862,Intel Core i7,1000,128,Nvidia,Windows
305,Lenovo,Notebook,4,0.7884573603642703,19180.2672,0,0,100.45466986113651,Other Intel Processor,1000,0,Intel,Others/No OS/Linux
306,HP,2 in 1 Convertible,16,0.2468600779315258,105228.0,1,0,165.6321180513006,Intel Core i7,0,256,Intel,Windows
307,Toshiba,Notebook,8,0.7884573603642703,55571.04,0,1,141.21199808219862,Intel Core i7,0,256,Nvidia,Windows
308,Lenovo,Notebook,8,0.8329091229351039,43636.32,0,0,141.21199808219862,Intel Core i5,1000,128,Nvidia,Windows
309,HP,Notebook,4,0.62057648772511,24988.32,0,0,141.21199808219862,Intel Core i3,1000,0,Intel,Windows
310,Lenovo,Notebook,8,0.09531017980432493,53226.72,0,1,165.6321180513006,Intel Core i5,0,256,Intel,Windows
311,Dell,Ultrabook,16,0.1906203596086497,133146.72,1,1,331.2642361026012,Intel Core i7,0,1000,Intel,Windows
312,MSI,Gaming,16,1.0296194171811581,111834.72,0,1,141.21199808219862,Intel Core i7,1000,256,Nvidia,Windows
313,Acer,Notebook,8,0.8020015854720274,24988.32,0,0,141.21199808219862,AMD Processor,0,256,AMD,Windows
314,Asus,2 in 1 Convertible,2,0.09531017980432493,14652.0,1,0,135.0942111925629,Other Intel Processor,0,0,Intel,Windows
315,Dell,Notebook,8,0.8458682675776092,44968.32,0,0,141.21199808219862,Intel Core i5,1000,128,AMD,Windows
316,HP,2 in 1 Convertible,16,0.25464221837358075,130482.72,1,1,331.2642361026012,Intel Core i7,0,1000,Intel,Windows
317,Lenovo,Notebook,4,0.371563556432483,24503.472,0,0,117.82653006268643,Other Intel Processor,0,0,Intel,Others/No OS/Linux
318,HP,Notebook,8,0.6678293725756554,52214.4,0,0,157.3505121487356,Intel Core i5,0,256,Intel,Windows
319,Acer,Notebook,4,0.3364722366212129,25840.8,0,0,135.0942111925629,Other Intel Processor,0,0,Intel,Windows
320,HP,Notebook,8,0.3920420877760237,68837.76,0,0,157.3505121487356,Intel Core i7,0,256,Intel,Windows
321,Lenovo,Notebook,4,1.0260415958332743,31381.92,0,0,106.11306214269258,Intel Core i5,1000,0,Nvidia,Windows
322,Asus,Notebook,8,0.6931471805599453,58288.32,0,0,157.3505121487356,Intel Core i7,0,256,Intel,Windows
323,HP,Notebook,8,0.7419373447293773,48058.56,0,1,100.45466986113651,Intel Core i7,1000,0,Intel,Windows
324,Acer,Notebook,8,0.7884573603642703,35111.52,0,0,100.45466986113651,AMD Processor,0,256,AMD,Windows
325,Lenovo,Notebook,4,0.36464311358790924,15557.76,0,0,111.93520355955211,Other Intel Processor,0,0,Intel,Windows
326,Acer,Notebook,6,2.1077860146889784,29250.72,0,0,100.45466986113651,Intel Core i5,1000,0,Intel,Windows
327,Asus,Ultrabook,8,0.5306282510621704,55938.672,0,0,141.21199808219862,Intel Core i7,0,256,Nvidia,Windows
328,HP,Ultrabook,8,0.23111172096338664,71128.8,0,0,176.23257360658386,Intel Core i7,0,256,Intel,Windows
329,Dell,Notebook,32,0.7227059828014898,140605.92,1,0,282.42399616439724,Intel Core i7,0,1000,Nvidia,Windows
330,MSI,Gaming,8,0.9932517730102834,63882.72,0,0,127.33567457123111,Intel Core i7,1000,256,Nvidia,Windows
331,Toshiba,Notebook,8,0.6931471805599453,50243.04,0,1,141.21199808219862,Intel Core i5,0,256,Intel,Windows
332,Asus,Notebook,8,0.6931471805599453,71075.52,0,0,157.3505121487356,Intel Core i7,1000,256,Intel,Windows
333,Lenovo,Notebook,4,0.6151856390902335,23922.72,0,0,141.21199808219862,Intel Core i3,1000,0,Intel,Windows
334,Asus,Gaming,8,0.9162907318741551,53226.72,0,0,141.21199808219862,Intel Core i7,0,256,Nvidia,Windows
335,HP,Notebook,8,0.3920420877760237,67559.04,0,0,157.3505121487356,Intel Core i5,0,256,Intel,Windows
337,HP,Notebook,8,0.6097655716208943,60952.32,0,0,141.21199808219862,Intel Core i5,0,256,Intel,Windows
338,Asus,Notebook,4,0.6931471805599453,14651.4672,0,0,100.45466986113651,Other Intel Processor,1000,0,Intel,Others/No OS/Linux
339,Dell,Notebook,8,0.6931471805599453,60885.72,0,0,141.21199808219862,Intel Core i5,0,256,Nvidia,Windows
340,Dell,Notebook,4,0.7884573603642703,14646.672,0,0,100.45466986113651,Other Intel Processor,500,0,Intel,Others/No OS/Linux
341,Lenovo,Notebook,12,0.7884573603642703,47898.72,0,0,141.21199808219862,AMD Processor,2000,0,AMD,Windows
342,HP,Notebook,8,0.7419373447293773,38148.48,0,1,141.21199808219862,Intel Core i3,1000,0,Nvidia,Windows
343,Lenovo,2 in 1 Convertible,16,0.3364722366212129,111834.72,1,1,316.96506044349616,Intel Core i7,0,512,Intel,Windows
344,Dell,Ultrabook,8,0.1823215567939546,84129.12,0,0,165.6321180513006,Intel Core i7,0,256,Intel,Windows
345,Lenovo,Gaming,16,0.8754687373538999,60153.12,0,1,141.21199808219862,Intel Core i7,2000,256,Nvidia,Windows
346,HP,Notebook,2,0.36464311358790924,14865.12,0,0,111.93520355955211,Other Intel Processor,0,0,Intel,Windows
